Project name,Source type,Language,Development toolset,Team size,Age,Source,Link,Application type,Application size,Operating system,Number of versions,1st vc increments,2nd vc increments,3rd vc increments,4th vc increments,Suffix number increments,1st vc number of jumps,1st vc sum of jumps,1st vc avg of jumps,2nd vc number of jumps,2nd vc sum of jumps,2nd vc avg of jumps,3rd vc number of jumps,3rd vc sum of jumps,3rd vc avg of jumps,4th vc number of jumps,4th vc sum of jumps,4th vc avg of jumps,Suffix number of jumps,Suffix sum of jumps,Suffix avg of jumps,1st vc number of empty jumps,1st vc sum of empty jumps,1st vc avg of empty jumps,2nd vc number of empty jumps,2nd vc sum of empty jumps,2nd vc avg of empty jumps,3rd vc number of empty jumps,3rd vc sum of empty jumps,3rd vc avg of empty jumps,4th vc number of empty jumps,4th vc sum of empty jumps,4th vc avg of empty jumps,Suffix number of empty jumps,Suffix sum of empty jumps,Suffix avg of empty jumps,1st vc avg cycle length,2nd vc avg cycle length,3rd vc avg cycle length,4th vc avg cycle length,Suffix number avg cycle length,Number of megalomania severities,Sum of megalomania severities,Average of megalomania severities,Aggregated increments,Aggregated jumps,Aggregated empty jumps,Aggregated cycle length,Aggregated inconsistency score
connector,Proprietary,Java,--,--,5.3,marketplace,"https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.eclipse.jira/versions,https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.idea/versions,https://marketplace.atlassian.com/plugins/PLVS/versions,https://confluence.atlassian.com/display/ALLDOC/IDE+Connector+Documentation+Directory",DevTool,68.8,Multiplatform,35,2,6,18,0,0,0,0.0,0,1,2.0,2.0,3,6.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5.0,2.6,0,0.0,0,0,0.0,0,8.75,3.5,1.0294117647058822,1.0,8.75,0.0,0.0,0,26.0,5.0,5.0,4.605882352941177,10.0
connector,Proprietary,Java,--,--,5.3,marketplace_eclipse,"https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.eclipse.jira/versions,https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.idea/versions,https://marketplace.atlassian.com/plugins/PLVS/versions,https://confluence.atlassian.com/display/ALLDOC/IDE+Connector+Documentation+Directory",DevTool,68.8,Multiplatform,20,2,4,9,0,0,0,0.0,0,2,4.0,2.0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,3.0,3.0,0,0.0,0,0,0.0,0,5.0,2.2222222222222223,1.0526315789473684,1.0,5.0,0.0,0.0,0,15.0,5.0,3.0,2.8549707602339183,8.0
connector,Proprietary,Java,--,--,5.3,documentation,"https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.eclipse.jira/versions,https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.idea/versions,https://marketplace.atlassian.com/plugins/PLVS/versions,https://confluence.atlassian.com/display/ALLDOC/IDE+Connector+Documentation+Directory",DevTool,68.8,Multiplatform,13,2,6,0,0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3.25,1.1818181818181819,1.0,1.0,2.6,0.0,0.0,0,8.0,2.0,0.0,1.8063636363636362,2.0
connector,Proprietary,Java,--,--,5.3,documentation_eclipse,"https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.eclipse.jira/versions,https://marketplace.atlassian.com/plugins/com.atlassian.ide.plugins.idea/versions,https://marketplace.atlassian.com/plugins/PLVS/versions,https://confluence.atlassian.com/display/ALLDOC/IDE+Connector+Documentation+Directory",DevTool,68.8,Multiplatform,7,2,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2.3333333333333335,1.1666666666666667,1.0,1.0,2.3333333333333335,0.0,0.0,0,5.0,0.0,0.0,1.5666666666666669,0.0
acrobat,Proprietary,C++,--,--,7.9,release_notes,http://helpx.adobe.com/acrobat/release-note/release-notes-acrobat-reader.html,Multimedia,1850,Windows,67,14,9,33,0,0,11,88.0,8.0,9,19.0,2.111111111111111,8,29.0,3.625,0,0.0,0,0,0.0,0,0,0.0,0,5,6.0,2.0,17,6.0,2.411764705882353,0,0.0,0,0,0.0,0,2.392857142857143,2.576923076923077,1.046875,1.0,6.090909090909091,1.0,1.0,1.0,56.0,59.0,6.0,2.621512862137862,66.0
python,OSS,C,Python,119,23,release_notes,https://www.python.org/doc/versions/,Language,20,Multiplatform,76,2,13,44,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,23,5.0,2.5217391304347827,0,0.0,0,0,0.0,0,4.222222222222222,4.0,1.0133333333333334,1.0,3.619047619047619,1.0,1.0,1.0,60.0,0.0,5.0,2.7709206349206346,6.0
rhel,OSS,C,UNIX,--,21,release_notes,https://access.redhat.com/articles/3078,OS,2800,Linux,51,5,0,0,0,37,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,1.0,0,0.0,0,0,0.0,0,0,0.0,0,4.25,1.1333333333333333,1.0,1.0,1.0408163265306123,0.0,0.0,0,42.0,0.0,1.0,1.6848299319727889,1.0
svn,OSS,C,VCS,176,14,release_notes,https://subversion.apache.org/docs/release-notes/release-history.html,DevTool,0.3,Multiplatform,134,1,49,55,0,0,0,0.0,0,9,58.0,6.444444444444445,27,183.0,6.777777777777778,0,0.0,0,0,0.0,0,2,3.0,1.5,2,3.0,1.5,25,9.0,2.56,0,0.0,0,2,3.0,1.5,4.620689655172414,2.09375,1.0,1.0,4.620689655172414,2.0,2.0,1.0,105.0,81.0,9.0,2.6670258620689653,91.0
svn,OSS,C,VCS,176,14,svn,https://subversion.apache.org/docs/release-notes/release-history.html,DevTool,0.3,Multiplatform,199,1,39,93,0,38,0,0.0,0,1,6.0,6.0,12,61.0,5.083333333333333,0,0.0,0,5,14.0,2.8,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5.102564102564102,3.618181818181818,1.3916083916083917,1.0,2.2613636363636362,0.0,0.0,0,171.0,27.0,0.0,2.6747435897435894,27.0
atunes,OSS,Java,--,4,8,svn,https://svn.code.sf.net/p/atunes/code,DesktopApp,16,Multiplatform,45,1,10,26,0,0,2,3.0,1.5,2,13.0,6.5,5,9.0,1.8,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3.2142857142857144,3.0,1.0465116279069768,1.0,3.4615384615384617,0.0,0.0,0,37.0,15.0,0.0,2.344467160746231,15.0
cardme,OSS,Java,--,5,5,svn,https://svn.code.sf.net/p/cardme/code,Firmware,0.27,Multiplatform,19,0,2,8,2,0,0,0.0,0,1,3.0,3.0,2,4.0,2.0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,11,7.0,3.5454545454545454,0,0.0,0,2.375,2.111111111111111,1.4615384615384615,1.0,1.9,2.0,3.0,1.5,12.0,7.0,7.0,1.7695299145299146,15.5
davmail,OSS,Java,--,1,8,svn,https://svn.code.sf.net/p/davmail/code,DesktopApp,4.8,Multiplatform,63,4,17,36,0,2,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,3.0,3.0,0,0.0,0,0,0.0,0,4.5,2.625,1.2352941176470589,1.0,3.5,3.0,3.0,1.0,59.0,3.0,3.0,2.5720588235294115,7.0
FileZilla3,OSS,C,--,4,10,svn,https://svn.filezilla-project.org/svn/FileZilla3/,Utility,0.77,Multiplatform,92,0,3,23,4,13,0,0.0,0,1,6.0,6.0,3,13.0,4.333333333333333,0,0.0,0,4,4.0,1.0,0,0.0,0,0,0.0,0,0,0.0,0,31,7.0,3.5806451612903225,0,0.0,0,2.0444444444444443,2.0444444444444443,1.5862068965517242,1.0,1.0823529411764705,5.0,6.0,1.2,43.0,9.0,7.0,1.5514897453234167,17.2
hfst,OSS,C,--,13,5,svn,https://svn.code.sf.net/p/hfst/code,Library,3,Multiplatform,25,3,5,10,0,0,2,4.0,2.0,2,5.0,2.5,4,16.0,4.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5.0,2.6,0,0.0,0,0,0.0,0,3.125,2.272727272727273,1.0,1.0,5.0,1.0,2.0,2.0,18.0,14.0,5.0,2.4795454545454545,21.0
jailer,OSS,Java,--,3,7,svn,https://svn.code.sf.net/p/jailer/code,DevTool,14,Multiplatform,15,0,2,5,0,0,2,3.0,1.5,3,7.0,2.3333333333333335,6,17.0,2.8333333333333335,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2.5,2.142857142857143,1.0,1.0,3.0,0.0,0.0,0,7.0,18.0,0.0,1.9285714285714284,18.0
jupload,OSS,Java,--,10,12,svn,https://svn.code.sf.net/p/jupload/code,Utility,5.2,Multiplatform,52,2,11,15,0,8,1,2.0,2.0,1,2.0,2.0,1,2.0,2.0,0,0.0,0,2,12.0,6.0,3,4.0,1.3333333333333333,5,9.0,1.8,7,9.0,2.142857142857143,0,0.0,0,3,4.0,1.3333333333333333,3.25,1.6774193548387097,1.2093023255813953,1.0,1.6774193548387097,2.0,3.0,1.5,36.0,9.0,9.0,1.7628282070517631,19.5
jxls,OSS,Java,--,8,8,svn,https://svn.code.sf.net/p/jxls/code,Library,1.3,Multiplatform,20,1,0,12,0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,5.0,2.6666666666666665,2,7.0,3.5,0,0.0,0,5.0,5.0,1.0526315789473684,1.0,2.857142857142857,1.0,1.0,1.0,15.0,0.0,9.0,2.9819548872180452,10.0
ledger-smb,OSS,Perl,--,15,8,svn,https://svn.code.sf.net/p/ledger-smb/code,DesktopApp,2.5,Multiplatform,67,0,3,50,0,0,0,0.0,0,0,0.0,0,10,99.0,9.9,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,5.0,2.5,0,0.0,0,0,0.0,0,22.333333333333332,16.75,1.0307692307692307,1.0,13.4,0.0,0.0,0,53.0,20.0,5.0,10.902820512820512,25.0
oswing,OSS,Java,--,1,7,svn,https://svn.code.sf.net/p/oswing/code,Library,8,Multiplatform,92,1,13,56,0,0,0,0.0,0,0,0.0,0,14,37.0,2.642857142857143,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,20,9.0,2.55,2,7.0,3.5,0,0.0,0,7.076923076923077,6.133333333333334,1.0,1.0,7.076923076923077,0.0,0.0,0,70.0,28.0,9.0,4.457435897435897,37.0
picard,OSS,Java,--,28,5,svn,https://svn.code.sf.net/p/picard/code,Utility,49,Multiplatform,109,0,103,0,0,0,0,0.0,0,5,215.0,43.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,109.0,1.0,1.0,1.0,109.0,0.0,0.0,0,103.0,5.0,0.0,44.2,5.0
rssowl,OSS,Java,--,5,8,svn,https://svn.code.sf.net/p/rssowl/code,DesktopApp,15,Multiplatform,20,0,2,9,0,4,0,0.0,0,0,0.0,0,1,2.0,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,3.0,3.0,0,0.0,0,0,0.0,0,6.666666666666667,5.0,1.0,1.0,2.5,0.0,0.0,0,15.0,1.0,3.0,3.2333333333333334,4.0
subsonic,OSS,Java,--,5,8,svn,https://svn.code.sf.net/p/subsonic/code,WebApp,30,Multiplatform,101,6,41,4,0,13,0,0.0,0,4,10.0,2.5,1,1.0,1.0,0,0.0,0,2,2.0,1.0,3,2.0,0.6666666666666666,3,2.0,0.6666666666666666,10,5.0,2.6,0,0.0,0,3,2.0,0.6666666666666666,2.58974358974359,1.294871794871795,1.0,1.0,1.4027777777777777,3.0,4.0,1.3333333333333333,64.0,9.0,5.0,1.4574786324786326,15.333333333333334
tei,OSS,Perl,--,38,10,svn,https://svn.code.sf.net/p/tei/code,WebApp,203,Multiplatform,25,0,0,0,0,1,2,5.0,2.5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.0,3,4.0,1.3333333333333333,3,4.0,1.3333333333333333,0,0.0,0,1,0.0,0.0,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,0.0,0.0,0,1.0,6.0,4.0,1.2666666666666668,10.0
tvbrowser,OSS,Java,--,24,11,svn,https://svn.code.sf.net/p/tvbrowser/code,DesktopApp,6.8,Multiplatform,125,3,0,0,0,9,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,3.0,3.0,1,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.0,6.578947368421052,1.0,1.0,1.0,4.310344827586207,0.0,0.0,0,12.0,0.0,0.0,2.7778584392014514,0.0
uiq3,OSS,Java,Android,3,8,svn,https://svn.code.sf.net/p/uiq3/code,Library,3.1,Multiplatform,202,1,0,0,0,7,2,46.0,23.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,3.0,3.0,1,3.0,3.0,0,0.0,0,0,0.0,0,16.833333333333332,1.0,1.0,1.0,11.222222222222221,0.0,0.0,0,8.0,6.0,3.0,6.21111111111111,9.0
league,Proprietary,C++,--,--,5.5,third_party,http://leagueoflegends.wikia.com/wiki/Patch,Game,8000,Windows,137,7,27,1,60,0,14,85.0,6.071428571428571,2,3.0,1.5,1,3.0,3.0,24,133.0,5.541666666666667,0,0.0,0,0,0.0,0,1,4.0,4.0,2,6.0,3.0,2,6.0,3.0,0,0.0,0,5.956521739130435,2.74,2.5849056603773586,1.0223880597014925,22.833333333333332,1.0,1.0,1.0,95.0,88.0,6.0,7.027429758508523,95.0
wow,Proprietary,C++,--,--,11,third_party,http://www.wowwiki.com/Patches,Game,25000,Windows,507,0,3,10,0,0,5,15.0,3.0,36,180.0,5.0,77,234.0,3.038961038961039,455,5069323.0,11141.36923076923,3,4.0,1.3333333333333333,0,0.0,0,0,0.0,0,0,0.0,0,18,7.0,3.6666666666666665,0,0.0,0,10.5625,6.76,4.056,1.045360824742268,10.346938775510203,1.0,1.0,1.0,13.0,1313.0,7.0,6.554159920050495,1321.0
chrome,Proprietary,--,--,--,--,third_party_archive,http://www.oldapps.com/google_chrome.php,DesktopApp,35,Multiplatform,87,2,0,0,0,0,30,464.0,15.466666666666667,3,1212.0,404.0,36,177905.0,4941.805555555556,75,689727.0,9196.36,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,7.0,3.4,0,0.0,0,2.4166666666666665,10.875,2.3513513513513513,1.0,12.428571428571429,0.0,0.0,0,2.0,276.0,7.0,5.8143178893178895,283.0
gliffy,Proprietary,--,--,--,--,marketplace,https://marketplace.atlassian.com/plugins/com.gliffy.integration.jira/versions,WebApp,4,JIRA,76,0,0,4,0,0,7,15.0,2.142857142857143,16,78.0,4.875,39,82.0,2.1025641025641026,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,20,5.0,2.5,0,0.0,0,0,0.0,0,1.6521739130434783,1.3818181818181818,1.0,1.0,1.9487179487179487,4.0,4.0,1.0,4.0,92.0,5.0,1.396542008715922,98.0
instagram,Proprietary,--,--,--,--,third_party_archive,http://apps.xinyou.com/ios/subject/instagram/version,MobileApp,12,Multiplatform,81,0,0,12,0,0,9,24.0,2.6666666666666665,24,94.0,3.9166666666666665,37,114.0,3.081081081081081,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,12,5.0,2.5,0,0.0,0,0,0.0,0,1.8409090909090908,1.4464285714285714,1.0945945945945945,1.0,2.3142857142857145,4.0,5.0,1.25,12.0,112.0,5.0,1.5392435942435942,118.25
jeditor,Proprietary,--,--,--,--,marketplace,https://marketplace.atlassian.com/plugins/com.jiraeditor.jeditor/versions,DevTool,10.4,JIRA,60,0,0,1,0,0,1,1.0,1.0,2,9.0,4.5,54,1156.0,21.40740740740741,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,5.0,2.5,0,0.0,0,0,0.0,0,8.571428571428571,7.5,1.0,1.0,10.0,0.0,0.0,0,1.0,61.0,5.0,5.614285714285714,66.0
secondlife,Proprietary,--,--,--,--,third_party,http://wiki.secondlife.com/wiki/Category:Release_Notes,Game,1000,Multiplatform,181,2,25,51,1,0,0,0.0,0,1,13.0,13.0,12,40.0,3.3333333333333335,99,306660.0,3097.5757575757575,0,0.0,0,0,0.0,0,0,0.0,0,5,5.0,2.6,17,7.0,3.5294117647058822,0,0.0,0,7.541666666666667,4.641025641025641,2.033707865168539,1.0,7.541666666666667,1.0,1.0,1.0,79.0,126.0,9.0,4.551613367905503,136.0
skype,Proprietary,--,--,--,--,third_party,http://en.wikipedia.org/wiki/Skype,DesktopApp,100,Multiplatform,61,3,15,0,11,0,0,0.0,0,8,17.0,2.125,2,132.0,66.0,47,2113.0,44.95744680851064,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,12.2,2.259259259259259,8.714285714285714,1.0166666666666666,12.2,0.0,0.0,0,29.0,75.0,0.0,7.278042328042327,75.0
spotify,Proprietary,--,--,--,--,third_party_archive,http://spotify.en.uptodown.com/mac/old,MobileApp,512,Multiplatform,32,0,0,0,0,0,0,0.0,0,4,23.0,5.75,17,97.0,5.705882352941177,23,4410.0,191.7391304347826,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,7.0,3.3333333333333335,0,0.0,0,4.571428571428571,3.2,1.391304347826087,1.0,4.571428571428571,0.0,0.0,0,0.0,69.0,7.0,2.9468322981366457,76.0
tempo,Proprietary,--,--,--,--,marketplace,https://marketplace.atlassian.com/plugins/is.origo.jira.tempo-plugin/versions,WebApp,19,JIRA,163,4,5,8,1,0,15,60.0,4.0,53,198.0,3.7358490566037736,53,114.0,2.150943396226415,16,22.0,1.375,1,1.0,1.0,0,0.0,0,0,0.0,0,47,9.0,2.617021276595745,36,9.0,3.388888888888889,0,0.0,0,1.663265306122449,1.304,1.044871794871795,1.0,1.7912087912087913,17.0,19.0,1.1176470588235294,18.0,341.0,9.0,1.360669178440607,351.11764705882354
matplotlib,OSS,Python,Python,37,11,svn,http://sourceforge.net/projects/matplotlib/,Library,51.2,Multiplatform,57,0,19,19,0,0,0,0.0,0,10,305.0,30.5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,22,5.0,2.5,0,0.0,0,0,0.0,0,3.3529411764705883,1.78125,1.0178571428571428,1.0,3.3529411764705883,0.0,0.0,0,38.0,30.0,5.0,2.100997899159664,35.0
typo3,OSS,PHP,--,41,8,svn,https://svn.typo3.org/TYPO3v4/Core/,Framework,57.3,Multiplatform,126,0,1,0,0,7,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6.631578947368421,6.631578947368421,1.0,1.0,4.846153846153846,0.0,0.0,0,8.0,0.0,0.0,4.0218623481781375,0.0
