,Standard deviation,Median,Mean,Min,Max
Team size,774.1804,32,278.8649,1,4091
Age,4.3567,8,9.7789,4,23
Application size,452.3615,10,95.2116,0.27,2800
Number of versions,228.4749,84,158.3947,15,1282
